iter	Passed	Remaining
0	2	226
1	4	208
2	6	197
3	7	180
4	12	237
5	15	249
6	19	254
7	22	263
8	26	267
9	28	256
10	30	245
11	32	236
12	33	227
13	35	220
14	37	212
15	39	206
16	43	211
17	45	206
18	47	200
19	48	195
20	50	191
21	52	186
22	54	182
23	58	185
24	60	180
25	62	176
26	63	172
27	65	168
28	67	164
29	69	161
30	73	164
31	76	162
32	78	159
33	80	156
34	83	154
35	85	151
36	90	153
37	92	151
38	95	148
39	97	146
40	99	143
41	100	138
42	105	139
43	107	136
44	109	134
45	112	131
46	114	129
47	116	126
48	118	123
49	120	120
50	122	117
51	124	115
52	127	112
53	133	113
54	135	111
55	139	109
56	141	106
57	143	103
58	145	100
59	147	98
60	149	95
61	150	92
62	152	89
63	154	86
64	156	84
65	158	81
66	161	79
67	163	77
68	165	74
69	167	71
70	168	68
71	170	66
72	172	63
73	176	61
74	178	59
75	179	56
76	181	54
77	183	51
78	185	49
79	186	46
80	188	44
81	192	42
82	194	39
83	195	37
84	197	34
85	199	32
86	201	30
87	202	27
88	206	25
89	208	23
90	210	20
91	212	18
92	214	16
93	215	13
94	217	11
95	219	9
96	221	6
97	223	4
98	224	2
99	226	0
