iter	Passed	Remaining
0	160	159976
1	162	80890
2	165	55085
3	169	42113
4	171	34077
5	175	29039
6	179	25438
7	181	22532
8	183	20193
9	184	18297
10	188	16905
11	191	15728
12	195	14817
13	197	13875
14	198	13047
15	200	12319
16	204	11802
17	205	11226
18	207	10732
19	209	10280
20	211	9849
21	214	9549
22	216	9206
23	218	8890
24	222	8658
25	223	8386
26	225	8119
27	228	7938
28	231	7736
29	236	7633
30	239	7490
31	241	7300
32	242	7114
33	245	6967
34	246	6801
35	247	6638
36	253	6588
37	254	6443
38	255	6305
39	257	6171
40	258	6045
41	259	5925
42	261	5808
43	266	5799
44	268	5703
45	270	5605
46	272	5519
47	273	5428
48	275	5338
49	276	5252
50	278	5181
51	279	5103
52	281	5038
53	283	4960
54	284	4890
55	290	4905
56	293	4848
57	294	4781
58	295	4720
59	297	4656
60	298	4596
61	300	4540
62	306	4561
63	308	4517
64	310	4461
65	312	4416
66	313	4363
67	314	4313
68	320	4322
69	323	4297
70	324	4249
71	326	4208
72	327	4162
73	329	4118
74	330	4074
75	336	4095
76	339	4067
77	340	4027
78	342	3995
79	344	3959
80	345	3921
81	354	3971
82	355	3927
83	357	3894
84	358	3859
85	359	3823
86	361	3789
87	368	3816
88	369	3785
89	371	3756
90	373	3734
91	375	3702
92	376	3671
93	383	3694
94	385	3671
95	387	3644
96	388	3620
97	390	3592
98	391	3563
99	397	3574
100	399	3552
101	400	3527
102	402	3501
103	403	3478
104	405	3452
105	410	3464
106	414	3458
107	416	3437
108	417	3412
109	418	3390
110	420	3366
111	421	3342
112	425	3339
113	427	3322
114	428	3299
115	430	3279
116	431	3255
117	432	3233
118	434	3213
119	439	3220
120	440	3201
121	441	3179
122	443	3159
123	444	3138
124	445	3118
125	446	3099
126	447	3079
127	451	3074
128	453	3058
129	455	3045
130	456	3027
131	459	3024
132	462	3015
133	463	2998
134	467	2994
135	469	2981
136	471	2970
137	473	2956
138	475	2942
139	476	2927
140	477	2911
141	479	2897
142	481	2886
143	484	2878
144	486	2866
145	487	2852
146	489	2838
147	490	2824
148	494	2823
149	496	2813
150	497	2799
151	499	2787
152	502	2779
153	504	2772
154	508	2771
155	510	2761
156	512	2750
157	513	2738
158	515	2728
159	518	2719
160	519	2706
161	524	2714
162	526	2703
163	528	2693
164	529	2681
165	532	2674
166	535	2668
167	539	2669
168	541	2660
169	543	2652
170	545	2643
171	547	2635
172	550	2632
173	554	2631
174	556	2625
175	558	2615
176	561	2608
177	563	2602
178	566	2599
179	571	2602
180	572	2591
181	574	2580
182	575	2571
183	579	2568
184	581	2563
185	586	2567
186	588	2558
187	589	2547
188	592	2541
189	594	2534
190	596	2528
191	601	2532
192	603	2523
193	604	2513
194	607	2505
195	609	2499
196	612	2495
197	616	2496
198	618	2489
199	620	2480
200	621	2471
201	623	2463
202	625	2457
203	631	2462
204	633	2456
205	635	2448
206	636	2438
207	638	2432
208	641	2428
209	643	2419
210	647	2420
211	649	2413
212	650	2404
213	652	2396
214	654	2390
215	657	2387
216	661	2388
217	664	2382
218	665	2373
219	667	2367
220	670	2362
221	672	2357
222	676	2358
223	678	2350
224	680	2342
225	681	2335
226	684	2329
227	691	2342
228	693	2335
229	695	2328
230	697	2320
231	702	2324
232	708	2333
233	711	2330
234	714	2325
235	717	2321
236	720	2318
237	724	2320
238	727	2314
239	730	2312
240	731	2304
241	733	2296
242	734	2289
243	738	2287
244	741	2284
245	743	2277
246	746	2274
247	747	2267
248	750	2263
249	753	2261
250	755	2255
251	757	2247
252	758	2239
253	760	2232
254	763	2229
255	765	2225
256	769	2225
257	771	2217
258	772	2210
259	776	2210
260	778	2203
261	779	2195
262	780	2188
263	784	2188
264	786	2181
265	788	2175
266	790	2169
267	791	2162
268	793	2155
269	794	2148
270	796	2142
271	799	2140
272	801	2134
273	802	2127
274	804	2121
275	806	2114
276	807	2107
277	809	2101
278	811	2095
279	814	2094
280	816	2088
281	817	2082
282	819	2076
283	821	2070
284	822	2063
285	824	2057
286	825	2051
287	828	2047
288	829	2041
289	831	2035
290	832	2029
291	834	2022
292	835	2016
293	837	2010
294	839	2005
295	840	1999
296	843	1997
297	845	1992
298	847	1986
299	848	1980
300	850	1974
301	851	1968
302	853	1962
303	856	1959
304	857	1954
305	859	1949
306	861	1945
307	863	1940
308	865	1935
309	866	1929
310	868	1923
311	871	1922
312	873	1917
313	874	1911
314	876	1906
315	878	1901
316	879	1895
317	881	1890
318	882	1884
319	885	1882
